,0 call iv,1 call delta_holding,2 call holding,3 call trading,4 call price,5 strikes,6 put price,7 put trading,8 put holding,9 put delta_holding,91 put iv
0,11.26,10.0,68.0,0.0,0.0,5300.0,2.5,6.0,1914.0,336.0,11.26
1,10.68,0.0,162.0,0.0,0.0,5400.0,4.0,72.0,1082.0,374.0,10.68
2,10.25,-82.0,186.0,0.0,0.0,5500.0,9.0,404.0,2554.0,686.0,10.25
3,9.98,50.0,226.0,158.0,277.0,5600.0,19.5,128.0,3912.0,1824.0,9.98
4,9.86,488.0,734.0,88.0,201.0,5700.0,38.0,916.0,7926.0,3724.0,9.86
5,9.88,472.0,1038.0,120.0,135.0,5800.0,72.0,1202.0,9332.0,1310.0,9.88
6,10.03,2456.0,3118.0,470.0,85.5,5900.0,121.5,358.0,5572.0,712.0,10.03
7,10.31,1810.0,4290.0,436.0,52.0,6000.0,188.5,304.0,3734.0,-1824.0,10.31
8,10.7,4132.0,6694.0,704.0,31.5,6100.0,267.0,164.0,1908.0,-1356.0,10.7
9,11.21,546.0,9062.0,732.0,19.5,6200.0,354.5,204.0,1506.0,-934.0,11.21
10,11.83,-550.0,13036.0,312.0,12.5,6300.0,0.0,0.0,834.0,-284.0,11.83
11,12.55,-2616.0,8626.0,534.0,9.5,6400.0,0.0,0.0,466.0,-88.0,12.55
12,13.37,1936.0,7180.0,220.0,7.0,6500.0,0.0,0.0,450.0,-432.0,13.37
13,14.28,62.0,4220.0,2.0,5.5,6600.0,0.0,0.0,212.0,-10.0,14.28
14,15.28,232.0,3102.0,0.0,0.0,6700.0,0.0,0.0,122.0,0.0,15.28
15,16.37,-38.0,1156.0,0.0,0.0,6800.0,0.0,0.0,90.0,0.0,16.37
16,17.54,92.0,608.0,0.0,0.0,6900.0,0.0,0.0,18.0,0.0,17.54
17,18.78,14.0,440.0,0.0,0.0,7000.0,0.0,0.0,30.0,2.0,18.78
18,18.78,6.0,746.0,0.0,0.0,7100.0,0.0,0.0,44.0,-2.0,18.78
19,18.78,-8.0,442.0,0.0,0.0,7200.0,0.0,0.0,38.0,0.0,18.78
20,18.78,140.0,614.0,2.0,0.5,7300.0,0.0,0.0,82.0,6.0,18.78
21,18.78,166.0,1246.0,8.0,1.0,7400.0,0.0,0.0,94.0,24.0,18.78
