,cash,dt_date,margin_capital,money_utilization,mtm_long_positions,mtm_short_positions,nbr_trade,npv,realized_pnl,total_asset,unrealized_pnl,drawdown
0,801190.6842599999,2017-10-10,194171.97324,0.1950766102956801,179878.4155,-175241.07299999997,10,0.9999999999999999,0.0,999999.9999999999,0.0,0.0
1,525211.4465999998,2017-10-11,470151.2109,0.47234162077252745,195707.3275,-179526.921,0,1.0115430639999998,0.0,1011543.0639999999,11543.063999999984,-0.0
2,518733.5828999998,2017-10-12,476629.07459999993,0.47884966450029803,205295.38549999997,-185332.37099999998,0,1.0153256719999995,0.0,1015325.6719999996,15325.671999999991,-0.0
3,520040.7257999997,2017-10-13,475321.9317,0.4775364316899744,196462.5015,-183961.47,0,1.0078636889999997,0.0,1007863.6889999998,7863.6889999999985,-0.0073493492834679226
4,516877.26479999966,2017-10-16,478485.3927000001,0.4807146310891216,195466.9535,-186485.313,0,1.004344298,0.0,1004344.2979999998,4344.298000000017,-0.01081561739532136
5,522267.5741999997,2017-10-17,473095.08330000006,0.47529920851988583,176588.3145,-181118.83649999998,0,0.9908321354999998,0.0,990832.1354999999,-9167.864499999978,-0.024123822705824038
6,513060.7415999997,2017-10-18,482301.9159,0.48454893527086146,204184.279,-187714.64250000002,0,1.0118322939999997,0.0,1011832.2939999998,11832.294000000038,-0.003440647760947894
7,512912.2442999997,2017-10-19,482450.41320000007,0.48469812441200627,204244.4675,-187471.221,0,1.0121359039999998,0.0,1012135.9039999997,12135.904000000017,-0.003141620553843049
8,524937.8774999997,2017-10-20,470424.78,0.4726164644166392,167754.74800000002,-177399.2745,0,0.9857181309999998,0.0,985718.1309999998,-14281.868999999995,-0.029160634677618633
9,526999.1177999998,2017-10-23,468363.53969999996,0.4705456209060164,155394.2205,-175003.76249999998,0,0.9757531154999999,0.0,975753.1154999998,-24246.88449999999,-0.038975234834798506
10,517308.0902999997,2017-10-24,478054.56720000005,0.48028179839567686,199112.161,-183097.782,0,1.0113770364999999,0.0,1011377.0364999998,11377.03649999998,-0.003889033448963731
11,517667.41709999973,2017-10-25,477695.2404,0.4799207975109315,191133.142,-183179.262,0,1.0033165374999997,0.0,1003316.5374999997,3316.537500000006,-0.011827864527786457
12,493257.0275999997,2017-10-26,502105.62990000006,0.5044449137373834,259112.012,-204819.3315,0,1.0496553379999998,0.0,1049655.3379999998,49655.33799999999,-0.0
13,466898.0438999996,2017-10-27,528464.6136000002,0.5309267025621768,360206.689,-226485.88199999998,0,1.1290834644999999,0.0,1129083.4644999998,129083.4645,-0.0
14,475980.41579999967,2017-10-30,519382.2417000001,0.521802016367085,312132.04850000003,-218664.82050000003,0,1.0888298854999998,0.0,1088829.8854999999,88829.8855,-0.03565155302121604
15,479546.18429999973,2017-10-31,515816.4732,0.5182196351383618,291591.14499999996,-215808.9465,0,1.0711448559999996,0.0,1071144.8559999997,71144.856,-0.051314725900850545
16,487840.64459999977,2017-11-01,507522.0129,0.5098865313821561,254988.91400000002,-208699.81650000002,0,1.041651755,0.0,1041651.7549999999,41651.75500000003,-0.07743600207511489
17,485273.0060999998,2017-11-02,510089.6513999999,0.5124661323754754,265577.5485,-211047.45900000003,0,1.0498927469999997,0.0,1049892.7469999997,49892.746999999996,-0.07013716876552503
18,480990.41729999974,2017-11-03,514372.2402,0.5167686735324407,268389.59849999996,-214705.911,0,1.0490463449999996,0.0,1049046.3449999995,49046.34499999998,-0.07088680510917203
19,491122.0478999998,2017-11-06,504240.60959999997,0.5065898401960093,240856.783,-205354.044,0,1.0308653964999999,0.0,1030865.3964999998,30865.396500000003,-0.08698920061104128
20,901098.5167603996,2017-11-07,216241.68678000002,0.1935325392345299,217143.1815,-210258.1215,20,1.1242252635403998,124225.2635404,1124225.2635403997,0.0,-0.004302782843207692
21,651191.4939403995,2017-11-08,466148.70960000006,0.41719496722928534,221590.97099999996,-212907.24,0,1.1260239345403995,0.0,1126023.9345403996,1798.6710000000094,-0.0027097464942108795
22,644454.7275403995,2017-11-09,472885.476,0.42322425569367056,237574.2915,-218012.98050000003,0,1.1369015145403996,0.0,1136901.5145403997,12676.250999999982,-0.0
23,619230.3528403995,2017-11-10,498109.8507000001,0.4457996312328969,338274.405,-241400.796,0,1.2142138125403996,0.0,1214213.8125403996,89988.54899999997,-0.0
24,608223.4233403995,2017-11-13,509116.78020000004,0.45565064121635884,375532.1535,-252309.9495,0,1.2405624075403996,0.0,1240562.4075403996,116337.144,-0.0
25,616252.2588403996,2017-11-14,501087.94470000005,0.44846497343625047,335574.36149999994,-245074.5255,0,1.2078400395403996,0.0,1207840.0395403996,83614.77600000001,-0.026377043025894144
26,623992.6551403995,2017-11-15,493347.5484000001,0.4415374537108582,299304.55799999996,-239310.83400000003,0,1.1773339275403996,0.0,1177333.9275403996,53108.66400000001,-0.05096759309784338
27,603217.9032403994,2017-11-16,514122.30030000006,0.46013049442860315,379824.11250000005,-255832.941,0,1.2413313750403994,0.0,1241331.3750403994,117106.11149999997,-0.0
28,570088.9500403994,2017-11-17,547251.2535000001,0.48978032989950776,542630.319,-284136.0375,0,1.3758344850403996,0.0,1375834.4850403997,251609.2215,-0.0
29,559408.5516403994,2017-11-20,557931.6519,0.49933910024193184,616700.7315,-293907.5265,0,1.4401334085403996,0.0,1440133.4085403995,315908.145,-0.0
30,513402.9066403995,2017-11-21,603937.2969000001,0.5405133503532468,866236.2869999999,-335883.9855,0,1.6476925050403997,0.0,1647692.5050403997,523467.2414999999,-0.0
31,495766.15324039944,2017-11-22,621574.0503000001,0.556297937128265,968253.321,-351682.9575,0,1.7339105670403996,0.0,1733910.5670403996,609685.3034999999,-0.0
32,555543.3441403995,2017-11-23,561796.8594000001,0.5027983935598959,606304.902,-298593.645,0,1.4250514605403997,0.0,1425051.4605403997,300826.19700000004,-0.17812862576135602
33,549739.3200403994,2017-11-24,567600.8835,0.5079928939292636,644458.9305,-304137.3405,0,1.4576617935403995,0.0,1457661.7935403995,333436.53,-0.15932123533425793
34,569103.6531403994,2017-11-27,548236.5504000001,0.4906621534451728,563022.726,-285636.28800000006,0,1.3947266415403994,0.0,1394726.6415403993,270501.37799999997,-0.19561788938108324
35,588369.5991403995,2017-11-28,528970.6044,0.4734194677000845,530873.7735000001,-273501.879,0,1.3747120980403995,0.0,1374712.0980403996,250486.8345,-0.20716089735418913
36,591361.7484403994,2017-11-29,525978.4551,0.47074154624830195,524994.9915,-271806.0765,0,1.3705291185403994,0.0,1370529.1185403995,246303.85500000004,-0.2095733513639366
