,cash,dt_trade,id_instrument,margin capital,premium paid,trade_price,trading_cost,trading_type,unit
0,99992275.0,2017-01-04,50etf_1702_p_2.2,0.0,7725.0,0.0103,1.545,多开,75.0
1,99989866.0,2017-01-04,50etf_1702_p_2.25,0.0,2409.0,0.0219,0.4818,多开,11.0
2,99984601.0,2017-01-04,50etf_1702_p_2.35,7335.000000000002,-2070.0,0.069,0.41400000000000003,空开,3.0
3,99971994.0,2017-01-04,50etf_1702_p_2.4,27264.0,-7322.0,0.1046,1.4644,空开,7.0
4,99966422.35,2017-02-08,50etf_1702_p_2.2,33358.999999999985,-7725.0,0.0007,0.105,多平,75.0
5,99966509.85059999,2017-02-08,50etf_1702_p_2.25,33358.999999999985,-2409.0,0.0008,0.0176,多平,11.0
6,99975128.32139999,2017-02-08,50etf_1702_p_2.35,24163.999999999985,2070.0,0.0192,0.1152,空平,3.0
7,99995419.08279999,2017-02-08,50etf_1702_p_2.4,-1.4551915228366852e-11,7322.0,0.0553,0.7742,空平,7.0
8,99987792.08279999,2017-02-08,50etf_1703_p_2.2,-1.4551915228366852e-11,7626.999999999999,0.0029,1.5254,多开,263.0
9,99985307.08279999,2017-02-08,50etf_1703_p_2.25,-1.4551915228366852e-11,2485.0000000000005,0.0071,0.4970000000000001,多开,35.0
10,99983428.08279999,2017-02-08,50etf_1703_p_2.5,3399.999999999986,-1521.0000000000002,0.1521,0.3042,空开,1.0
11,99977629.08279999,2017-02-08,50etf_1703_p_2.55,15204.999999999984,-6006.0,0.2002,1.2012,空开,3.0
12,99975661.04179998,2017-03-08,50etf_1703_p_2.2,18749.199999999983,-7626.999999999999,0.0006,0.31560000000000005,多平,263.0
13,99976010.47479998,2017-03-08,50etf_1703_p_2.25,18749.199999999983,-2485.0000000000005,0.001,0.07,多平,35.0
14,99978847.67719997,2017-03-08,50etf_1703_p_2.5,14444.399999999983,1521.0000000000002,0.1467,0.2934,空平,1.0
15,99987409.69999997,2017-03-08,50etf_1703_p_2.55,-1.8189894035458565e-11,6006.0,0.196,1.1760000000000002,空平,3.0
16,99979231.69999997,2017-03-08,50etf_1704_p_2.25,-1.8189894035458565e-11,8178.000000000001,0.0047,1.6356000000000002,多开,174.0
17,99976552.69999997,2017-03-08,50etf_1704_p_2.3,-1.8189894035458565e-11,2678.9999999999995,0.0141,0.5357999999999999,多开,19.0
18,99973070.69999997,2017-03-08,50etf_1704_p_2.45,5577.999999999983,-2096.0,0.1048,0.4192000000000001,空开,2.0
19,99964245.69999997,2017-03-08,50etf_1704_p_2.5,21927.99999999998,-7524.999999999999,0.1505,1.505,空开,5.0
20,99959984.22079995,2017-04-07,50etf_1704_p_2.25,27405.599999999984,-8178.000000000001,0.0007,0.24360000000000004,多平,174.0
21,99960306.62039995,2017-04-07,50etf_1704_p_2.3,27405.599999999984,-2678.9999999999995,0.0017,0.06459999999999999,多平,19.0
22,99966011.51199995,2017-04-07,50etf_1704_p_2.45,20253.999999999985,2096.0,0.0723,0.28920000000000007,空平,2.0
23,99980232.80099995,2017-04-07,50etf_1704_p_2.5,-1.4551915228366852e-11,7524.999999999999,0.1206,1.206,空平,5.0
24,99972210.80099995,2017-04-07,50etf_1705_p_2.35,-1.4551915228366852e-11,8021.999999999999,0.0191,1.6044,多开,42.0
25,99969624.80099995,2017-04-07,50etf_1705_p_2.4,-1.4551915228366852e-11,2586.0,0.0431,0.5172,多开,6.0
26,99906951.80099995,2017-04-07,50etf_1705_p_2.3,65363.999999999985,-2691.0,0.0069,0.5382,空开,39.0
27,99229989.80099995,2017-04-07,50etf_1705_p_2.25,750477.0000000002,-8151.000000000001,0.0019,1.6302000000000003,空开,429.0
28,98958813.22139993,2017-05-08,50etf_1705_p_2.35,1037524.7999999991,-8021.999999999999,0.0378,3.1752000000000007,多平,42.0
29,98963821.70219994,2017-05-08,50etf_1705_p_2.4,1037524.7999999991,-2586.0,0.0835,1.002,多平,6.0
30,99068168.90879995,2017-05-08,50etf_1705_p_2.3,929900.3999999992,2691.0,0.0084,0.6552000000000001,空平,39.0
31,99991202.30579995,2017-05-08,50etf_1705_p_2.25,-1.1641532182693481e-10,8151.000000000001,0.0016,1.3728000000000002,空平,429.0
32,99987560.30579995,2017-05-08,50etf_1706_p_2.5,-1.1641532182693481e-10,3642.0000000000005,0.1821,0.7284000000000002,多开,2.0
33,99987560.30579995,2017-05-08,50etf_1706_p_2.55,-1.1641532182693481e-10,0.0,0.2319,0.0,多开,0.0
34,99951105.30579995,2017-05-08,50etf_1706_p_2.25,37857.99999999989,-1403.0,0.0061,0.2806,空开,23.0
35,99640560.30579995,2017-05-08,50etf_1706_p_2.2,352623.99999999994,-4221.0,0.0021,0.8442,空开,201.0
36,99646834.40699996,2017-06-07,50etf_1706_p_2.5,347201.0,-3642.0000000000005,0.0426,0.1704,多平,2.0
37,99646834.40699996,2017-06-07,50etf_1706_p_2.55,347201.0,-0.0,0.0801,0.0,多平,0.0
38,99683036.07579996,2017-06-07,50etf_1706_p_2.25,310746.0,1403.0,0.0011,0.050600000000000006,空平,23.0
39,99992172.90999995,2017-06-07,50etf_1706_p_2.2,-5.820766091346741e-11,4221.0,0.0008,0.32160000000000005,空平,201.0
40,99984772.90999995,2017-06-07,50etf_1707_p_2.3,-5.820766091346741e-11,7400.0,0.0037,1.48,多开,200.0
41,99982323.90999995,2017-06-07,50etf_1707_p_2.35,-5.820766091346741e-11,2449.0000000000005,0.0079,0.48980000000000007,多开,31.0
42,99978491.90999995,2017-06-07,50etf_1707_p_2.55,5671.999999999941,-1840.0,0.092,0.368,空开,2.0
43,99968591.90999995,2017-06-07,50etf_1707_p_2.6,22236.999999999945,-6665.0,0.1333,1.3330000000000002,空开,5.0
44,99965633.14999993,2017-07-05,50etf_1707_p_2.3,26593.99999999995,-7400.0,0.0007,0.27999999999999997,多平,200.0
45,99965911.60439993,2017-07-05,50etf_1707_p_2.35,26593.99999999995,-2449.0000000000005,0.0009,0.0558,多平,31.0
46,99972367.11879994,2017-07-05,50etf_1707_p_2.55,19549.99999999995,1840.0,0.0294,0.11760000000000001,空平,2.0
47,99989005.20379993,2017-07-05,50etf_1707_p_2.6,-5.093170329928398e-11,6665.0,0.0582,0.5820000000000001,空平,5.0
48,99982401.20379993,2017-07-05,50etf_1708_p_2.5,-5.093170329928398e-11,6604.0,0.0254,1.3208,多开,26.0
49,99980193.20379993,2017-07-05,50etf_1708_p_2.65,-5.093170329928398e-11,2208.0,0.1104,0.44160000000000005,多开,2.0
50,99972341.20379993,2017-07-05,50etf_1708_p_2.55,9707.999999999947,-1855.9999999999998,0.0464,0.3712,空开,4.0
